var,mean,sd,state
A[561],51.823,0.715,
A[562],51.524,0.726,
A[563],52.792,1.024,
A[564],56.09,1.221,
A[565],48.371,1.473,
A[566],55.802,2.229,
A[567],58.737,2.077,
A[568],53.38,0.969,
A[569],52.386,0.793,
A[570],51.284,0.701,
A[571],53.67,0.938,
A[572],48.755,1.791,
A[573],54.279,3.387,
A[574],52.683,1.005,
A[575],48.371,1.473,
A[576],52.122,0.659,
A[577],53.978,0.938,
A[578],37.013,1.331,
A[579],58.984,2.05,
A[580],59.289,2.324,
A[581],51.997,0.747,
A[582],53.108,0.74,
A[583],58.989,2.1,
A[584],43.244,1.785,
A[585],39.873,1.353,
A[586],53.119,0.815,
A[587],49.015,1.227,
A[588],51.295,0.823,
A[589],51.594,0.829,
A[590],51.804,0.752,
A[591],51.552,0.783,
A[592],51.026,0.78,
A[593],52.102,0.74,
A[594],51.851,0.771,
A[595],51.324,0.765,
A[596],42.345,2.323,
A[597],36.687,1.971,
A[598],47.88,1.531,
A[599],46.01,2.324,
A[600],39.774,2.213,
A[601],52.648,2.285,
A[602],36.082,1.583,
A[603],51.776,0.668,
A[604],52.075,0.655,
A[605],51.739,0.692,
A[606],38.823,1.398,
A[607],51.858,0.752,
A[608],51.964,0.692,
A[609],51.102,0.76,
A[610],51.193,0.72,
A[611],51.596,0.771,
A[612],51.693,0.723,
A[613],53.034,0.73,
A[614],53.32,0.733,
A[615],51.754,0.709,
A[616],52.038,0.795,
A[617],52.103,0.656,
A[618],52.715,0.759,
A[619],51.238,0.705,
A[620],52.098,0.756,
A[621],52.16,0.721,
A[622],51.799,0.762,
A[623],51.862,0.732,
A[624],52.51,0.769,
A[625],44.816,1.807,
A[626],45.108,1.802,
A[627],52.967,0.845,
A[628],52.7,0.776,
A[629],46.25,2.843,
A[630],54.544,1.263,
A[631],52.897,0.784,
A[632],36.773,1.338,
A[633],51.32,0.761,
A[634],48.912,1.294,
A[635],51.801,0.836,
A[636],52.306,0.816,
A[637],56.156,1.237,
A[638],51.563,0.784,
A[639],55.28,1.315,
A[640],49.677,1.064,
A[641],50.995,0.743,
A[642],52.905,0.802,
A[643],53.017,0.765,
A[644],52.606,0.794,
A[645],52.718,0.76,
A[646],48.585,1.387,
A[647],49.905,1.081,
A[648],48.882,1.413,
A[649],50.203,1.077,
A[650],61.524,1.891,
A[651],51.823,0.67,
A[652],52.122,0.659,
A[653],39.249,1.453,
A[654],37.658,1.993,
A[655],37.934,2.011,
A[656],53.111,0.817,
A[657],53.174,0.785,
A[658],52.813,0.818,
A[659],52.876,0.79,
A[660],53.429,0.835,
A[661],53.492,0.803,
A[662],53.131,0.841,
A[663],53.193,0.814,
A[664],52.831,0.859,
A[665],52.894,0.823,
A[666],52.532,0.861,
A[667],52.595,0.829,
A[668],49.285,1.356,
A[669],55.67,1.099,
A[670],50.986,0.717,
A[671],51.284,0.701,
A[672],52.418,0.765,
A[673],54.559,0.979,
A[674],52.669,0.761,
A[675],51.092,0.732,
A[676],48.572,1.288,
A[677],51.46,0.826,
A[678],52.111,0.783,
A[679],51.421,0.705,
A[680],50.697,0.737,
A[681],60.734,1.656,
A[682],45.319,4.168,
A[683],43.396,2.259,
A[684],48.14,1.774,
A[685],51.647,0.785,
A[686],52.205,0.826,
A[687],43.77,3.141,
A[688],43.685,2.252,
A[689],52.086,0.793,
A[690],51.995,0.819,
A[691],51.787,0.811,
A[692],51.696,0.833,
A[693],56.162,1.224,
A[694],54.87,1.034,
A[695],52.85,0.822,
A[696],52.251,0.832,
A[697],61.255,1.892,
A[698],52.308,0.746,
A[699],55.04,1.241,
A[700],52.682,0.747,
A[701],52.996,0.752,
A[702],51.399,0.736,
A[703],51.706,0.821,
A[704],52.395,0.776,
A[705],56.279,1.226,
A[706],51.749,0.672,
A[707],50.935,0.723,
A[708],52.981,0.738,
A[709],53.295,0.737,
A[710],51.698,0.721,
A[711],52.005,0.801,
A[712],52.693,0.765,
A[713],56.576,1.199,
A[714],52.047,0.658,
A[715],51.233,0.706,
A[716],51.413,1.177,
A[717],51.727,1.18,
A[718],50.132,1.153,
A[719],50.438,1.215,
A[720],51.126,1.197,
A[721],55.015,1.503,
A[722],50.48,1.124,
A[723],49.668,1.145,
A[724],52.619,0.771,
A[725],52.934,0.776,
A[726],51.337,0.764,
A[727],51.643,0.843,
A[728],52.332,0.804,
A[729],56.217,1.258,
A[730],51.686,0.697,
A[731],50.872,0.745,
A[732],52.668,0.834,
A[733],52.967,0.845,
A[734],52.126,0.66,
A[735],52.145,0.666,
A[736],46.74,2.855,
A[737],52.717,0.814,
A[738],36.715,1.343,
A[739],36.987,1.334,
A[740],36.658,1.356,
A[741],36.93,1.349,
A[742],52.844,0.801,
A[743],52.942,0.753,
A[744],53.153,0.795,
A[745],53.263,0.745,
A[746],52.534,0.846,
A[747],52.634,0.79,
A[748],56.025,1.089,
A[749],50.021,1.029,
A[750],51.099,0.938,
A[751],51.013,0.77,
A[752],51.329,0.737,
A[753],50.793,0.755,
A[754],51.605,0.865,
A[755],51.74,0.824,
A[756],51.306,0.864,
A[757],51.441,0.824,
A[758],52.637,0.766,
A[759],52.76,0.737,
A[760],52.936,0.762,
A[761],53.058,0.73,
A[762],52.951,0.772,
A[763],53.084,0.751,
A[764],53.25,0.762,
A[765],53.382,0.738,
A[766],52.135,1.076,
A[767],52.311,0.799,
A[768],52.61,0.813,
A[769],52.619,0.793,
A[770],52.918,0.801,
A[771],51.052,0.765,
A[772],51.351,0.775,
A[773],51.416,0.859,
A[774],51.715,0.863,
A[775],52.044,0.82,
A[776],52.342,0.832,
A[777],51.38,0.737,
A[778],51.678,0.75,
A[779],50.576,0.761,
A[780],50.875,0.769,
A[781],52.386,0.765,
A[782],52.685,0.776,
A[783],52.7,0.759,
A[784],52.999,0.764,
A[785],51.137,0.727,
A[786],51.436,0.734,
A[787],51.492,0.832,
